czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
105.000000	68.340000	27.340000	23.160000	23.070000	22.890000
106.000000	68.050000	27.210000	21.330000	22.300000	24.220000
107.000000	69.140000	26.960000	21.890000	23.430000	23.270000
108.000000	69.770000	28.710000	21.370000	23.460000	24.030000
109.000000	69.540000	27.190000	21.710000	22.540000	23.700000
110.000000	70.380000	28.930000	21.840000	23.730000	23.770000
111.000000	69.550000	27.640000	22.650000	22.910000	22.630000
112.000000	70.310000	28.320000	21.970000	22.250000	22.600000
113.000000	70.660000	28.320000	21.880000	22.800000	23.880000
114.000000	70.140000	29.660000	23.330000	22.620000	24.230000
115.000000	70.470000	29.950000	22.430000	22.570000	22.930000
116.000000	70.740000	28.460000	22.920000	23.620000	23.700000
117.000000	72.700000	29.310000	21.700000	23.530000	24.070000
118.000000	72.720000	28.660000	22.160000	22.900000	23.640000
119.000000	72.240000	30.140000	22.070000	23.380000	23.000000
120.000000	73.240000	30.700000	23.550000	22.520000	23.660000
121.000000	73.360000	30.850000	23.190000	22.170000	23.480000
122.000000	72.700000	30.010000	23.700000	23.100000	22.540000
123.000000	74.490000	31.250000	23.040000	21.920000	23.880000
124.000000	74.440000	29.610000	22.140000	22.400000	22.840000
125.000000	75.450000	31.030000	23.050000	22.720000	23.040000
126.000000	74.010000	30.330000	23.290000	22.890000	23.040000
127.000000	75.180000	32.140000	22.190000	21.740000	23.720000
128.000000	75.680000	30.520000	23.850000	21.740000	23.900000
129.000000	75.000000	30.950000	22.420000	23.360000	23.510000
130.000000	76.800000	32.340000	22.440000	22.400000	24.150000
131.000000	76.640000	32.070000	22.940000	22.150000	23.780000
132.000000	76.760000	32.970000	22.670000	22.120000	22.740000
133.000000	76.520000	31.950000	22.310000	21.920000	23.520000
134.000000	78.220000	32.020000	23.490000	23.220000	23.910000
135.000000	78.300000	32.780000	22.360000	23.170000	22.730000
136.000000	78.860000	32.290000	23.690000	22.880000	23.530000
137.000000	78.360000	33.460000	22.650000	22.410000	22.410000
138.000000	78.900000	32.580000	23.810000	23.460000	23.740000
139.000000	79.500000	32.520000	24.420000	23.250000	24.050000
140.000000	79.300000	34.270000	24.110000	23.280000	22.600000
141.000000	78.460000	34.460000	22.830000	22.020000	23.570000
142.000000	79.930000	33.430000	23.040000	22.400000	22.480000
143.000000	79.650000	35.020000	23.880000	23.430000	24.120000
144.000000	79.920000	34.870000	24.080000	22.570000	23.820000
145.000000	81.130000	33.540000	23.540000	22.510000	22.590000
146.000000	80.790000	34.010000	23.460000	21.620000	23.130000
147.000000	81.250000	35.730000	23.800000	22.030000	23.330000
148.000000	82.040000	35.170000	22.980000	23.280000	24.150000
149.000000	81.050000	34.810000	23.800000	23.170000	22.720000
150.000000	81.150000	36.300000	23.690000	22.480000	23.750000
151.000000	82.520000	36.400000	24.910000	21.850000	23.470000
152.000000	82.050000	35.740000	23.790000	22.650000	24.000000
153.000000	82.470000	36.190000	24.600000	23.040000	23.330000
154.000000	83.690000	35.850000	24.150000	21.930000	24.070000
155.000000	83.510000	36.670000	23.950000	22.650000	22.510000
156.000000	83.290000	35.560000	24.940000	22.590000	23.520000
157.000000	84.640000	37.070000	24.130000	21.560000	24.130000
158.000000	84.240000	37.500000	23.870000	21.820000	23.400000
159.000000	85.220000	37.930000	24.690000	23.310000	23.620000
160.000000	84.550000	36.970000	23.870000	23.360000	22.740000
161.000000	84.940000	38.150000	24.550000	21.690000	22.920000
162.000000	84.560000	38.610000	23.820000	22.290000	22.450000
163.000000	85.090000	38.240000	24.320000	21.490000	23.020000
164.000000	86.630000	37.460000	24.340000	23.210000	22.600000
165.000000	86.880000	38.290000	24.620000	22.550000	22.500000
166.000000	86.780000	37.730000	25.570000	22.950000	23.050000
167.000000	86.010000	37.870000	25.950000	21.820000	23.300000
168.000000	86.990000	38.740000	24.140000	22.730000	23.270000
169.000000	86.430000	39.410000	25.850000	22.660000	23.790000
170.000000	87.470000	39.700000	25.620000	23.050000	23.970000
