Temat	6		Q=	60	W
czas, s	T2	T3	T4	T6	T8
143	79,65	35,02	23,88	23,43	24,12
144	79,92	34,87	24,08	22,57	23,82
145	81,13	33,54	23,54	22,51	22,59
146	80,79	34,01	23,46	21,62	23,13
147	81,25	35,73	23,80	22,03	23,33
148	82,04	35,17	22,98	23,28	24,15
149	81,05	34,81	23,80	23,17	22,72
150	81,15	36,30	23,69	22,48	23,75
151	82,52	36,40	24,91	21,85	23,47
152	82,05	35,74	23,79	22,65	24,00
153	82,47	36,19	24,60	23,04	23,33
154	83,69	35,85	24,15	21,93	24,07
155	83,51	36,67	23,95	22,65	22,51
156	83,29	35,56	24,94	22,59	23,52
157	84,64	37,07	24,13	21,56	24,13
158	84,24	37,50	23,87	21,82	23,40
159	85,22	37,93	24,69	23,31	23,62
160	84,55	36,97	23,87	23,36	22,74
161	84,94	38,15	24,55	21,69	22,92
162	84,56	38,61	23,82	22,29	22,45
163	85,09	38,24	24,32	21,49	23,02
164	86,63	37,46	24,34	23,21	22,60
165	86,88	38,29	24,62	22,55	22,50
166	86,78	37,73	25,57	22,95	23,05
167	86,01	37,87	25,95	21,82	23,30
168	86,99	38,74	24,14	22,73	23,27
169	86,43	39,41	25,85	22,66	23,79
170	87,47	39,70	25,62	23,05	23,97
171	88,62	39,75	24,67	22,86	22,69
172	87,32	39,17	24,84	21,92	22,69
173	88,93	39,74	25,29	23,10	23,81
174	89,21	39,41	25,24	21,66	23,74
175	88,82	39,50	25,63	21,51	23,08
176	88,82	41,02	26,27	22,92	23,15
177	90,20	39,68	25,05	23,26	22,72
178	89,09	41,11	25,43	21,70	22,46
179	90,41	40,66	26,43	23,25	24,27
180	90,58	40,75	26,14	21,51	24,05
181	91,15	41,89	25,51	21,99	22,76
182	91,77	42,28	26,33	22,90	22,48
183	90,91	41,85	26,81	21,75	23,74
184	91,42	40,92	27,00	21,96	23,50
185	91,98	42,52	26,09	21,72	23,54
186	91,47	42,23	26,57	21,46	23,00
187	92,90	42,00	25,42	22,92	22,83
188	92,64	43,00	26,41	21,82	23,36
189	92,77	42,80	25,52	22,66	23,61
190	92,28	41,91	26,39	22,59	23,43
191	93,41	42,59	26,94	22,85	22,31
192	92,39	43,31	26,93	21,99	22,77
193	94,01	42,85	26,55	22,85	23,07
194	94,33	43,19	25,84	22,36	22,29
195	94,88	43,20	27,31	23,17	22,56
196	94,09	43,63	26,11	22,46	22,91
197	95,42	43,59	27,54	22,04	22,52
198	94,22	43,48	26,69	22,65	23,27
199	95,66	45,37	26,19	21,81	22,88
200	96,10	44,75	26,59	23,02	22,71
201	94,93	44,05	27,97	22,72	23,11
202	96,74	45,07	27,93	21,78	22,50
203	97,00	44,43	28,08	23,13	23,34
204	97,26	45,91	26,55	21,78	24,23
205	96,74	45,46	26,98	22,67	22,54
206	96,31	46,64	28,51	23,25	22,85
207	96,36	45,91	26,89	22,48	22,52
208	96,77	46,61	27,13	22,05	23,79
209	98,24	45,31	28,75	22,19	22,38
210	98,03	45,56	27,62	21,73	22,53
211	98,55	45,86	27,33	22,45	24,21
212	97,79	46,26	29,05	22,82	22,83
213	98,76	46,09	28,57	22,83	22,80
214	99,20	46,55	29,07	22,86	23,37
215	98,40	48,20	29,20	22,71	23,84
216	99,41	46,57	27,74	22,54	24,24
217	98,74	47,50	29,02	22,57	23,57
218	99,25	47,22	28,70	22,01	22,72
219	100,81	47,31	29,22	22,14	23,48
220	100,06	48,18	28,26	22,09	22,49
221	100,88	48,72	29,77	21,71	22,67
222	101,32	49,52	29,27	21,80	23,00
223	100,50	49,12	28,52	22,99	23,98
224	101,82	48,49	28,32	21,69	22,96
225	102,24	48,14	28,30	23,01	23,31
226	101,90	48,78	28,53	22,39	23,86
227	101,89	48,71	29,98	23,17	23,39
228	101,06	49,34	28,52	21,68	23,57
229	103,03	49,62	29,66	22,67	23,16
230	103,07	49,09	29,05	22,84	23,11
231	102,52	50,30	28,59	21,80	24,24
232	102,06	50,64	29,38	23,33	22,80
233	103,49	50,71	29,48	21,97	22,61
234	104,28	50,97	29,68	23,54	24,25
235	102,85	49,90	29,41	22,29	23,51
236	104,09	51,00	30,11	21,95	22,62
237	103,04	50,30	29,67	23,54	23,26
238	104,66	51,59	30,12	22,72	22,66
239	104,02	52,43	30,41	22,06	23,40
240	104,15	52,01	30,45	21,78	22,62
241	104,99	51,47	29,53	22,31	23,95
242	105,07	51,61	30,55	22,80	22,84
243	105,10	51,25	29,63	21,65	23,29
244	104,55	53,14	31,18	22,72	22,80
245	106,24	51,96	30,19	22,61	24,06
246	105,65	51,85	30,82	23,46	23,54
247	107,09	52,49	31,35	22,76	24,08
248	105,81	52,73	31,96	22,72	22,79
249	106,42	53,59	30,41	23,04	22,51
250	106,90	52,84	31,32	21,81	23,31
251	107,16	53,64	31,31	22,89	22,77
252	107,54	53,90	31,25	21,76	22,63
253	107,77	54,82	31,89	22,04	23,93
254	106,66	54,57	31,23	22,30	22,29
255	108,67	55,04	31,14	22,52	22,75
256	109,01	53,96	32,15	22,12	23,97
257	108,78	54,36	32,52	21,95	23,98
258	108,98	54,48	31,82	21,77	23,02
259	108,63	54,68	32,63	22,74	23,24
260	108,06	55,93	32,27	21,65	23,34
261	109,80	55,75	32,78	22,94	22,45
262	108,38	54,52	31,39	22,26	23,31
263	108,77	56,53	32,41	23,24	22,47
264	108,98	54,98	31,39	22,01	22,86
265	109,82	56,67	31,47	21,58	22,79
266	110,27	56,50	31,56	21,84	23,86
267	110,22	55,63	32,36	22,07	23,75
268	109,96	55,69	32,04	21,95	22,63
269	110,73	56,74	33,39	22,88	23,50
270	110,84	57,03	33,63	21,86	23,52
271	110,39	56,71	32,09	22,32	22,63
272	110,88	57,35	33,12	23,51	23,48
273	111,11	58,15	32,51	23,31	24,14
274	111,48	57,34	33,17	22,31	22,63
275	112,03	56,97	32,49	22,27	22,42
276	111,44	58,54	34,17	23,39	23,95
277	112,24	57,21	32,81	22,19	23,13
278	112,17	57,80	33,84	23,16	22,34
279	113,18	58,33	33,15	21,80	22,90
280	112,03	57,91	34,25	22,70	24,13
281	113,83	59,01	32,96	23,16	24,19
282	114,24	58,85	33,36	21,66	23,43
283	112,57	59,69	34,78	23,27	22,68
284	113,84	59,40	33,60	22,44	22,46
285	114,85	58,63	34,42	21,64	22,74
286	114,05	59,70	33,36	22,70	22,50
287	114,63	59,33	33,79	21,72	24,18
288	114,94	59,06	35,02	23,32	22,24
289	115,24	59,18	33,57	21,69	23,59
290	114,24	59,86	35,29	21,64	22,43
291	114,28	59,98	35,54	23,37	22,70
292	116,00	60,58	34,53	22,68	22,28
293	115,36	60,16	34,54	22,90	22,30
294	114,89	60,12	35,45	22,41	22,94
295	116,54	61,08	34,06	23,47	23,56
296	116,12	61,57	34,57	22,49	22,51
297	117,07	60,24	35,94	22,08	23,47
298	116,24	60,70	34,64	22,59	23,15
299	116,20	62,11	35,58	22,77	23,08
300	115,98	62,39	35,31	23,36	22,53
301	116,13	62,67	34,79	21,70	22,35
302	116,84	62,36	36,58	22,58	23,19
303	118,01	62,32	36,26	22,81	23,01
304	117,69	61,37	35,49	22,35	22,74
305	117,49	61,92	35,57	23,10	22,39
306	116,85	61,74	35,46	23,00	23,95
307	118,52	63,15	36,70	22,14	22,48
308	118,01	62,50	37,01	23,13	22,33
309	117,84	62,11	36,08	23,47	23,25
310	118,28	62,14	36,42	22,78	22,28
311	119,59	63,10	36,85	21,79	22,97
312	119,83	64,14	36,77	21,82	23,26
313	119,33	64,38	37,10	23,57	22,99
314	120,12	63,01	35,73	21,77	22,63
315	119,98	63,60	37,68	22,43	22,53
316	120,47	63,53	37,41	23,13	22,43
317	119,23	64,61	36,03	22,47	23,66
318	119,21	63,31	37,55	22,19	23,30
319	121,08	64,45	37,80	22,72	23,85
320	119,62	65,27	37,40	22,64	22,51
321	120,47	63,73	37,79	22,54	23,91
322	121,41	65,23	36,46	22,05	23,31
323	121,02	65,22	37,86	22,43	24,15
324	121,17	64,95	38,12	22,57	22,31
325	121,70	66,11	37,09	21,77	23,38
326	121,23	65,88	37,51	23,04	23,35
327	121,60	64,67	38,00	21,69	23,37
328	121,49	66,12	38,11	22,56	22,64
329	122,45	65,00	37,48	22,36	22,29
330	122,12	66,92	37,35	22,01	22,35
331	121,59	65,35	38,86	22,11	22,93
332	122,62	66,09	38,19	22,79	23,89
333	122,32	67,44	38,67	23,11	22,40
334	121,84	67,27	38,08	22,46	23,90
335	123,69	66,06	38,93	21,76	23,37
336	122,73	66,75	38,30	22,24	24,16
337	124,01	67,54	39,07	23,51	23,96
338	122,57	66,30	39,09	23,45	23,81
339	123,13	67,61	39,81	23,53	23,93
340	123,68	68,10	38,33	23,49	23,86
341	124,89	68,12	40,01	22,76	22,41
342	124,65	68,66	38,20	22,35	22,56
343	124,43	68,07	39,04	22,69	22,87
344	123,71	68,83	38,85	23,32	22,37
345	125,52	67,48	40,08	23,25	23,51
346	124,56	67,80	40,24	22,30	23,45
347	124,74	68,80	39,40	22,29	23,06
348	126,10	68,13	38,90	23,43	23,18
349	126,04	69,64	39,86	22,54	23,80
350	124,91	69,15	39,90	22,00	23,98
351	124,80	68,61	40,73	23,45	24,12
352	125,92	69,15	39,98	22,65	23,60
353	125,82	68,64	40,18	22,84	22,58
354	125,67	68,92	40,68	23,33	23,50
355	125,73	69,66	40,94	22,86	22,29
356	126,41	70,28	39,52	21,88	23,00
357	126,01	70,21	41,06	23,20	22,52
358	126,49	69,81	39,93	23,22	22,42
359	127,97	70,25	39,97	22,87	23,97
360	126,71	69,88	40,65	22,28	23,86
361	126,49	71,24	40,73	23,40	22,37
362	127,43	70,95	41,44	22,08	23,19
363	127,71	70,60	41,76	22,05	22,58
364	128,23	71,56	41,74	21,63	23,58
365	127,21	71,82	40,90	23,06	23,86
366	127,48	71,66	41,53	23,18	23,95
367	128,95	71,26	40,83	22,02	23,55
368	128,20	72,37	42,24	22,07	22,51
369	128,78	72,49	41,75	23,48	22,95
370	128,65	71,91	41,14	22,07	23,21
371	129,71	71,05	41,26	22,60	22,40
372	129,27	71,41	41,09	22,50	23,75
373	128,71	72,39	42,83	22,97	22,45
374	129,84	71,57	42,62	22,68	23,03
375	130,12	72,28	41,94	23,48	23,00
376	129,76	72,97	41,62	22,38	22,81
377	129,16	72,05	42,87	23,36	22,25
378	130,49	72,91	43,06	22,03	23,25
379	130,53	73,14	41,85	22,54	23,74
380	130,36	73,33	42,61	22,43	24,07
381	129,78	72,89	42,79	22,56	23,41
382	131,38	72,70	41,95	23,22	22,93
383	131,35	74,57	42,53	22,15	23,09
384	130,79	74,42	42,89	22,74	23,19
385	130,37	73,84	43,02	21,77	23,04
386	131,36	73,19	44,04	22,93	23,22
387	131,94	74,51	43,22	21,83	23,67
388	130,72	73,74	42,73	23,61	23,25
389	132,48	74,07	42,85	22,63	22,44
390	131,53	73,60	42,68	23,56	22,19
391	133,04	74,65	42,75	23,54	23,22
392	131,91	75,65	43,06	21,67	22,89
393	132,76	75,48	43,29	23,46	22,53
394	133,05	75,73	44,39	23,16	22,51
395	132,36	75,30	44,36	22,00	23,67
396	133,18	75,37	44,35	21,68	23,27
397	132,63	75,71	43,62	22,56	22,16
398	133,14	76,27	43,67	22,87	23,94
399	133,41	75,18	44,77	22,09	22,15
400	132,99	76,36	44,91	22,06	22,27
401	134,09	75,07	43,96	22,97	22,72
402	132,82	75,57	44,82	21,88	22,54
403	133,81	75,51	44,41	22,21	22,56
404	134,00	76,54	43,93	22,42	23,20
405	134,06	76,60	45,47	23,30	22,73
406	133,72	76,09	44,40	22,80	23,01
407	133,86	77,72	45,13	22,98	23,08
408	133,92	76,04	44,91	22,11	23,63
409	134,29	76,62	45,16	22,77	22,16
410	135,63	77,02	44,77	21,85	22,88
411	135,03	77,09	44,62	23,60	23,53
412	134,84	76,73	44,56	22,01	23,76
413	134,95	77,27	45,20	22,33	22,56
414	134,92	78,59	45,23	22,15	22,98
415	135,45	78,73	45,20	23,60	22,45
416	136,56	77,37	45,37	23,77	22,32
417	136,38	78,19	45,85	22,01	22,35
418	135,08	78,14	45,20	22,05	22,49
419	135,70	78,70	45,42	23,18	23,91
420	135,54	79,39	46,95	22,26	22,36
421	136,95	78,66	45,65	22,21	23,51
422	137,26	78,10	45,93	23,46	23,96
423	136,45	78,77	46,00	22,02	22,97
424	136,08	78,98	45,68	22,47	22,20
425	137,26	79,43	46,37	23,58	24,10
426	138,19	79,27	45,71	23,43	22,16
427	138,02	80,12	46,74	22,93	23,73
428	138,03	79,19	46,34	23,03	23,33
429	137,16	78,87	46,57	22,34	23,15
430	138,32	78,82	47,71	23,74	22,24
431	138,05	79,65	47,81	24,17	22,27
432	138,22	80,66	47,11	23,43	23,59
433	137,63	79,98	47,99	22,61	22,28
434	138,58	79,82	47,67	22,53	23,55
435	137,47	80,80	47,77	23,11	23,30
436	138,48	79,81	47,75	23,70	23,21
437	138,62	81,65	47,60	24,08	23,48
438	139,86	81,59	48,28	23,39	23,23
439	139,30	81,24	47,17	23,63	24,13
440	138,78	80,45	48,18	23,41	23,95
441	138,42	80,45	48,15	23,91	22,85
442	139,69	81,68	48,91	22,89	23,11
443	139,85	80,86	47,47	23,24	22,30
444	140,56	80,58	48,78	23,32	23,99
445	140,71	81,23	47,63	24,31	22,72
446	139,38	81,04	47,93	22,93	22,81
447	139,27	82,44	49,08	22,93	23,64
448	140,76	81,99	47,99	23,21	22,61
449	139,55	82,94	49,39	23,52	22,58
450	139,57	82,53	47,92	23,54	23,91
451	139,76	83,02	48,97	23,79	22,91
452	140,31	83,24	49,36	23,87	22,86
453	141,01	82,14	48,06	24,68	22,23
454	141,45	83,40	48,28	23,42	22,53
455	141,53	83,02	49,09	24,71	22,95
456	141,63	83,11	50,20	23,67	23,30
457	141,70	82,69	48,70	23,25	23,08
458	142,38	83,93	48,72	23,10	23,49
459	141,78	82,58	48,70	23,86	23,90
460	142,19	83,11	50,05	23,40	22,68
461	142,77	82,96	50,28	23,57	23,05
462	141,90	84,42	49,42	23,59	23,82
463	143,03	83,49	50,80	23,47	23,42
464	141,51	84,27	50,20	24,40	24,03
465	142,80	84,43	49,08	24,18	23,09
466	143,42	84,41	49,96	23,48	22,31
467	143,47	83,41	50,94	24,54	23,89
468	142,47	85,17	49,69	23,29	23,18
469	142,86	84,23	49,94	24,24	22,47
470	143,44	85,34	50,28	25,01	23,72
471	142,42	84,63	51,12	23,80	24,02
472	142,95	85,11	51,10	23,53	24,02
473	144,35	85,79	50,93	24,35	23,42
474	144,49	85,47	49,89	24,72	23,90
475	143,50	85,82	51,20	23,74	22,48
476	143,26	85,45	51,17	24,33	23,32
477	143,21	85,18	51,64	24,65	23,41
478	143,79	86,11	51,07	24,59	23,86
479	144,04	85,18	52,24	24,50	22,65
480	145,30	85,58	50,47	23,98	23,29
481	145,29	86,30	50,86	24,18	24,03
482	145,05	86,97	52,31	24,97	23,31
483	143,97	86,15	50,92	23,72	23,61
484	144,47	86,42	51,17	25,22	23,57
485	144,33	85,71	50,87	24,86	23,50
486	144,82	87,12	51,94	23,76	24,30
487	144,66	85,86	51,11	24,93	24,13
488	146,26	87,16	52,88	24,94	22,57
489	144,77	87,66	51,64	23,76	22,70
490	146,04	87,44	51,59	24,99	23,70
491	144,97	86,84	52,92	24,94	22,53
492	146,82	87,54	52,27	24,69	23,97
493	145,32	87,56	51,81	25,65	22,61
494	145,47	87,34	52,71	24,71	23,08
495	147,24	88,41	51,63	24,85	22,43
496	145,72	87,10	53,22	25,16	24,17
497	147,12	88,83	53,37	24,11	22,80
498	146,96	88,96	53,24	25,77	23,63
499	146,60	87,70	52,31	24,43	23,75
500	147,15	87,81	52,95	25,85	23,15
501	146,14	87,96	52,77	25,26	23,97
502	147,41	87,48	53,32	25,27	23,72
503	147,52	88,24	52,58	24,46	22,47
504	147,71	89,19	52,56	25,14	22,70
505	147,04	88,75	53,54	26,19	23,05
506	147,85	88,44	52,79	25,06	22,87
507	148,28	88,00	54,29	24,39	24,23
508	147,96	89,03	54,06	25,57	22,73
509	147,73	88,26	52,88	24,95	24,22
510	147,53	89,01	54,76	25,06	22,62
511	148,23	89,12	53,11	25,72	24,42
512	148,38	89,44	54,06	26,27	24,03
513	148,34	89,10	53,23	26,05	24,19
514	147,89	89,41	53,25	26,02	24,12
515	149,03	90,05	54,08	26,06	22,67
516	149,14	89,68	53,63	24,69	23,51
517	149,65	90,69	55,26	25,78	22,52
518	149,53	91,18	55,15	26,33	23,29
519	148,77	90,88	55,41	26,42	23,22
520	148,80	90,62	54,41	25,60	22,94
521	148,69	90,75	54,30	26,56	23,78
522	149,54	90,94	55,11	25,74	23,72
523	149,09	90,52	54,42	25,78	24,32
524	149,80	90,58	55,76	26,45	24,45
525	150,14	91,94	54,29	25,76	23,86
526	149,69	91,06	55,38	26,47	24,19
527	149,91	91,25	55,89	26,66	23,06
528	149,81	90,82	55,64	26,08	24,06
529	150,78	90,75	54,85	25,95	24,31
530	150,99	90,56	56,01	25,25	23,76
531	150,51	92,56	55,62	25,34	23,96
532	149,78	91,27	56,28	25,34	22,67
533	151,84	92,06	56,57	25,35	23,39
534	151,37	92,97	55,39	25,37	23,76
535	152,14	92,92	56,77	26,09	23,27
536	151,39	92,98	55,52	26,86	22,68
537	151,32	92,28	56,84	25,51	22,71
538	150,90	93,28	56,13	25,46	24,25
539	152,59	93,45	57,14	26,64	24,44
540	151,74	91,79	56,73	26,18	24,24
541	152,41	92,71	57,29	25,51	23,89
542	152,83	92,83	57,31	25,94	23,54
543	152,23	92,21	56,87	25,62	23,24
544	151,73	93,81	57,36	26,99	23,64
545	152,51	92,71	57,30	25,57	23,01
546	151,84	93,42	55,98	26,65	23,80
547	151,96	93,35	55,93	26,62	23,07
548	152,77	93,83	56,89	26,85	22,95
549	152,53	94,35	58,04	27,16	24,56
550	153,48	94,18	56,86	26,67	24,00
551	153,73	94,58	56,53	27,18	23,01
552	152,06	94,45	57,17	26,62	23,70
553	152,73	94,61	57,22	26,68	23,89
554	153,50	93,45	56,59	26,35	22,91
555	153,93	94,85	56,60	25,84	24,01
556	154,19	93,37	57,31	27,55	23,38
557	153,82	94,92	57,11	26,18	23,60
558	152,75	93,92	58,03	27,05	23,31
559	153,47	94,16	58,32	26,75	23,38
560	153,96	95,27	57,16	26,64	23,27
561	154,79	94,62	58,82	26,84	23,71
562	153,45	95,72	57,72	26,69	24,36
563	154,17	95,00	58,56	26,84	24,37
564	155,33	94,40	59,21	27,29	23,43
565	155,41	94,67	57,97	26,18	23,82
566	154,57	95,89	59,11	27,38	24,79
567	154,16	96,36	57,82	27,57	23,07
568	155,07	96,46	58,18	27,31	24,01
569	154,85	95,77	59,32	27,87	24,41
570	154,45	96,28	59,66	28,10	23,91
571	155,28	96,06	58,56	27,85	24,49
572	156,18	95,24	58,92	27,04	23,90
573	154,70	95,06	59,61	27,11	23,29
574	154,77	96,41	59,62	27,24	23,99
575	155,19	96,41	59,26	26,92	24,12
576	154,94	95,70	59,73	27,13	23,97
577	154,82	96,99	58,39	27,81	24,14
578	156,31	97,18	59,11	26,65	24,85
579	156,32	96,25	60,24	26,84	23,74
580	155,13	96,99	59,59	28,10	23,89
581	155,28	96,31	59,09	28,14	23,33
582	156,82	97,51	59,19	28,42	24,07
583	155,65	97,74	60,35	27,22	24,68
584	156,93	97,21	59,29	27,44	23,20
585	155,82	97,61	60,38	27,65	24,73
586	157,03	97,63	60,62	27,13	24,16
587	156,95	98,40	60,82	27,48	23,12
588	156,69	97,86	59,92	27,77	23,72
589	157,93	98,53	59,27	28,14	24,69
590	158,05	96,82	59,77	27,87	23,94
591	157,87	97,21	60,36	28,87	25,12
592	158,05	98,44	61,39	28,48	24,05
593	158,22	98,75	60,20	27,63	25,04
594	157,95	98,05	61,41	27,44	24,42
595	157,14	99,14	61,22	27,23	23,34
596	157,46	98,26	59,82	28,07	23,96
597	157,96	98,31	60,13	28,05	24,18
598	157,94	98,02	61,38	28,42	23,46
599	158,65	98,13	61,49	28,08	24,47
600	157,47	99,59	61,46	27,70	24,70
